claimsPerMember,totalClaims,claimDensity,expansionNeed,members,settlements,housingShortage,farmShortage,paddockShortage,mineShortage,shrineNeed,avgProsperity,avgSpirituality,avgArmament,dominance,enemyPressure,localFood,localWood,localStone,localIron,localAnimals,agentProsperity,agentLoad,hasHome
1,0.2263889,1,0,0.08333333,0.08333333,0.8,1,1,1,0.03444837,0.3407215,0.6951972,0,0.5242286,0,1,1,0.3888889,0,0.7311111,0.3508369,0.06666667,1,0
1,0.2263889,1,0,0.08333333,0.08333333,0.8,1,1,1,0.03444837,0.3407215,0.6951972,0,0.5242286,0,1,1,0.3,0,1,0.3327399,0.1111111,0,0
1,0.2263889,1,0,0.08333333,0.08333333,0.8,1,1,1,0.03444837,0.3407215,0.6951972,0,0.5242286,0,1,1,1,0.5,0.6222222,0.3251372,0.1111111,0,0
1,0.2263889,1,0,0.08333333,0.08333333,0.8,1,1,1,0.03444837,0.3407215,0.6951972,0,0.5242286,0,1,1,0.3888889,0,0.7311111,0.3551319,0.08888889,0,0
1,0.2263889,1,0,0.08333333,0.08333333,0.8,1,1,1,0.03444837,0.3407215,0.6951972,0,0.5242286,0,1,1,0.6111111,0,1,0.3527303,0.1222222,0,0
1,0.2263889,1,0,0.08333333,0.08333333,0.8,1,1,1,0.03444837,0.3407215,0.6951972,0,0.5242286,0,1,1,0.6888889,0,0.8266667,0.3178148,0.03333333,0,0
1,0.2263889,1,0,0.08333333,0.08333333,0.8,1,1,1,0.03444837,0.3407215,0.6951972,0,0.5242286,0,1,1,0.7111111,0.4166667,1,0.3878579,0.1239111,0,0
1,0.2263889,1,0,0.08333333,0.08333333,0.8,1,1,1,0.03444837,0.3407215,0.6951972,0,0.5242286,0,1,1,0.3888889,0,0.7311111,0.3776453,0.1777778,0,0
1,0.2263889,1,0,0.08333333,0.08333333,0.8,1,1,1,0.03444837,0.3407215,0.6951972,0,0.5242286,0,1,1,0.3888889,0,0.7311111,0.3180948,0.1111111,0,0
1,0.2291667,1,0,0.08333333,0.08333333,0.6,1,1,1,0.07003452,0.3635776,0.6695751,0,0.5462285,0,1,1,0.3555556,0,0.8644444,0.4554023,0.06666667,1,0
1,0.2291667,1,0,0.08333333,0.08333333,0.6,1,1,1,0.07003452,0.3635776,0.6695751,0,0.5462285,0,1,1,0.3555556,0,0.8644444,0.4084587,0.1026667,1,0
1,0.2291667,1,0,0.08333333,0.08333333,0.6,1,1,1,0.07003452,0.3635776,0.6695751,0,0.5462285,0,1,1,0.3888889,0,0.6533333,0.3877093,0.08044444,1,0
1,0.2291667,1,0,0.08333333,0.08333333,0.6,1,1,1,0.07003452,0.3635776,0.6695751,0,0.5462285,0,1,1,0.3888889,0,0.6533333,0.3528187,0.07777778,0,0
1,0.2291667,1,0,0.08333333,0.08333333,0.6,1,1,1,0.07003452,0.3635776,0.6695751,0,0.5462285,0,1,1,0.6111111,0,0.9822222,0.355454,0.1111111,0,0
1,0.2291667,1,0,0.08333333,0.08333333,0.6,1,1,1,0.07003452,0.3635776,0.6695751,0,0.5462285,0,1,1,0.7111111,0.4166667,1,0.3829486,0.1239111,0,0
1,0.2291667,1,0,0.08333333,0.08333333,0.6,1,1,1,0.07003452,0.3635776,0.6695751,0,0.5462285,0,1,1,0.3555556,0,0.8644444,0.3885193,0.1111111,0,0
1,0.2291667,1,0,0.08333333,0.08333333,0.6,1,1,1,0.07003452,0.3635776,0.6695751,0,0.5462285,0,1,1,0.2,0,1,0.3219672,0.08888889,0,0
1,0.2291667,1,0,0.08333333,0.08333333,0.6,1,1,1,0.09571175,0.4140243,0.6510875,0,0.5558592,0,1,1,0.3555556,0,0.96,0.5492348,0.06666667,1,0
1,0.2291667,1,0,0.08333333,0.08333333,0.6,1,1,1,0.09571175,0.4140243,0.6510875,0,0.5558592,0,1,1,0.3555556,0,0.96,0.4465929,0.1026667,1,0
1,0.2291667,1,0,0.08333333,0.08333333,0.6,1,1,1,0.09571175,0.4140243,0.6510875,0,0.5558592,0,1,1,0.3888889,0,0.7266667,0.4678754,0.08044444,1,0
1,0.2291667,1,0,0.08333333,0.08333333,0.6,1,1,1,0.09571175,0.4140243,0.6510875,0,0.5558592,0,1,1,0.3666667,0,1,0.4042155,0.07777778,0,0
1,0.2291667,1,0,0.08333333,0.08333333,0.6,1,1,1,0.09571175,0.4140243,0.6510875,0,0.5558592,0,1,1,0.6444444,0.1666667,1,0.4096027,0.1111111,0,0
1,0.2291667,1,0,0.08333333,0.08333333,0.6,1,1,1,0.09571175,0.4140243,0.6510875,0,0.5558592,0,1,1,0.1555556,0,1,0.3302931,0.03333333,0,0
1,0.2291667,1,0,0.08333333,0.08333333,0.6,1,1,1,0.09571175,0.4140243,0.6510875,0,0.5558592,0,1,1,0.5555556,0.08333333,1,0.4083478,0.1239111,0,0
1,0.2291667,1,0,0.08333333,0.08333333,0.6,1,1,1,0.09571175,0.4140243,0.6510875,0,0.5558592,0,1,1,0.5,0.1666667,1,0.4411658,0.1111111,0,0
1,0.2291667,1,0,0.08333333,0.08333333,0.6,1,1,1,0.09571175,0.4140243,0.6510875,0,0.5558592,0,1,1,0.7888889,0.375,1,0.3541391,0,0,0
1,0.2291667,1,0,0.08333333,0.08333333,0.6,1,1,1,0.09571175,0.4140243,0.6510875,0,0.5558592,0,1,1,0.6444444,0.1666667,1,0.3287762,0,0,0
1,0.2291667,1,0,0.08333333,0.08333333,0.6,1,1,1,0.1286334,0.4901307,0.6273839,0,0.5703886,0,1,1,0.3555556,0,1,0.6441765,0.1484444,1,0
1,0.2291667,1,0,0.08333333,0.08333333,0.6,1,1,1,0.1286334,0.4901307,0.6273839,0,0.5703886,0,1,1,0.3555556,0,1,0.6049399,0.1026667,1,0
1,0.2291667,1,0,0.08333333,0.08333333,0.6,1,1,1,0.1286334,0.4901307,0.6273839,0,0.5703886,0,1,1,0.3888889,0,0.7977778,0.6062498,0.08044444,1,0
1,0.2291667,1,0,0.08333333,0.08333333,0.6,1,1,1,0.1286334,0.4901307,0.6273839,0,0.5703886,0,1,1,1,0.5416667,1,0.4450155,0,0,0
1,0.2291667,1,0,0.08333333,0.08333333,0.6,1,1,1,0.1286334,0.4901307,0.6273839,0,0.5703886,0,1,1,0.9333333,0.5,1,0.443618,0,0,0
1,0.2291667,1,0,0.08333333,0.08333333,0.6,1,1,1,0.1286334,0.4901307,0.6273839,0,0.5703886,0,1,1,0.6444444,0.1666667,1,0.4188513,0.03333333,0,0
1,0.2291667,1,0,0.08333333,0.08333333,0.6,1,1,1,0.1286334,0.4901307,0.6273839,0,0.5703886,0,1,1,0.7888889,0.375,1,0.4787709,0.1239111,0,0
1,0.2291667,1,0,0.08333333,0.08333333,0.6,1,1,1,0.1286334,0.4901307,0.6273839,0,0.5703886,0,1,1,0.8222222,0.375,1,0.4637718,0,0,0
1,0.2291667,1,0,0.08333333,0.08333333,0.6,1,1,1,0.1286334,0.4901307,0.6273839,0,0.5703886,0,1,1,0.3888889,0,0.7977778,0.4041611,0,0,0
1,0.2291667,1,0,0.08333333,0.08333333,0.6,1,1,1,0.1286334,0.4901307,0.6273839,0,0.5703886,0,1,1,0.8222222,0.375,1,0.4555262,0.04613333,0,0
1,0.2291667,1,0,0.08333333,0.08333333,0.6,1,1,1,0.144189,0.508103,0.6161839,0,0.5738197,0,1,1,0.3555556,0,1,0.6515459,0,1,0
1,0.2291667,1,0,0.08333333,0.08333333,0.6,1,1,1,0.144189,0.508103,0.6161839,0,0.5738197,0,1,1,0.3555556,0,1,0.628707,0.092,1,0
